variable,full_name,label,value_type,description,categories,categories_label
ngst_mroadAC2,BiB_MeDALL.medall_ngst.ngst_mroadAC2,adjacent roads are minor/not busy,decimal,,1|2,Absent|Present
ngst_noiseIN8a,BiB_MeDALL.medall_ngst.ngst_noiseIN8a,presence of noise pollution,decimal,,1|2,Absent|Present
ngst_noiselevelIN8b,BiB_MeDALL.medall_ngst.ngst_noiselevelIN8b,level of noise pollution,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_opspacqualR7,BiB_MeDALL.medall_ngst.ngst_opspacqualR7,quality of open space,decimal,,1|2|3,Poor|Adequate|Good
ngst_opspacquanR6b,BiB_MeDALL.medall_ngst.ngst_opspacquanR6b,amount of open space,decimal,,1|2|3,Some|Adequate|A lot
ngst_opspacR6a,BiB_MeDALL.medall_ngst.ngst_opspacR6a,presence of open space,decimal,,1|2,Absent|Present
ngst_parkcode,BiB_MeDALL.medall_ngst.ngst_parkcode,park code,decimal,,,
ngst_pathsAC5a,BiB_MeDALL.medall_ngst.ngst_pathsAC5a,presence of paths,decimal,,1|2,Absent|Present
ngst_pathsqualAC6,BiB_MeDALL.medall_ngst.ngst_pathsqualAC6,quality of paths,decimal,,1|2|3|4,Poor|Adequate|Good|Excellent
ngst_pathsquanAC5b,BiB_MeDALL.medall_ngst.ngst_pathsquanAC5b,quantity of paths,decimal,,1|2|3,Some|Adequate|A lot
ngst_picnicAM9a,BiB_MeDALL.medall_ngst.ngst_picnicAM9a,presence of picnic tables,decimal,,1|2,Absent|Present
ngst_picnicqualAM9b,BiB_MeDALL.medall_ngst.ngst_picnicqualAM9b,quality of picnic tables,decimal,,1|2|3,Poor|Adequate|Good
ngst_plantNA8a,BiB_MeDALL.medall_ngst.ngst_plantNA8a,"presence of other planted trees, shrubs",decimal,,1|2,Absent|Present
ngst_plantqualNA8b,BiB_MeDALL.medall_ngst.ngst_plantqualNA8b,"quality of other plants, shrubs",decimal,,1|2|3,Poor|Adequate|Good
ngst_playeR1a,BiB_MeDALL.medall_ngst.ngst_playeR1a,presence of playground equipment,decimal,,1|2,Absent|Present
ngst_playqualR1b,BiB_MeDALL.medall_ngst.ngst_playqualR1b,quality of playground equipment,decimal,,1|2|3,Poor|Adequate|Good
ngst_pondNA2b,BiB_MeDALL.medall_ngst.ngst_pondNA2b,presence of pond,decimal,,1|2,Absent|Present
ngst_pubartNN2,BiB_MeDALL.medall_ngst.ngst_pubartNN2,presence of public art,decimal,,1|2,Absent|Present
ngst_relaxUS8a,BiB_MeDALL.medall_ngst.ngst_relaxUS8a,suitable for relaxing dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_relaxUS8b,BiB_MeDALL.medall_ngst.ngst_relaxUS8b,suitable for relaxing,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_roadsvisSA2,BiB_MeDALL.medall_ngst.ngst_roadsvisSA2,visibility of roads from centre,decimal,,1|2|3,None|Partial|Clear
ngst_safecAC3,BiB_MeDALL.medall_ngst.ngst_safecAC3,adjacent roads have safe crossing,decimal,,1|2,Absent|Present
ngst_satisfaction,BiB_MeDALL.medall_ngst.ngst_satisfaction,Satisfaction 1-5 (5 = most satisfied),decimal,,,
ngst_seatAM1a,BiB_MeDALL.medall_ngst.ngst_seatAM1a,"presence of seating, benches",decimal,,1|2,Absent|Present
ngst_seatqualAM1b,BiB_MeDALL.medall_ngst.ngst_seatqualAM1b,quality of seating,decimal,,1|2|3,Poor|Adequate|Good
ngst_sheltAM6a,BiB_MeDALL.medall_ngst.ngst_sheltAM6a,presence of man-made shelter,decimal,,1|2,Absent|Present
ngst_sheltqualAM6b,BiB_MeDALL.medall_ngst.ngst_sheltqualAM6b,quality of man-made shelter,decimal,,1|2|3,Poor|Adequate|Good
ngst_shortAC4,BiB_MeDALL.medall_ngst.ngst_shortAC4,used as a shortcut/ direct route,decimal,,1|2,Absent|Present
ngst_skatequalR4b,BiB_MeDALL.medall_ngst.ngst_skatequalR4b,quality of skaterampqual,decimal,,1|2|3,Poor|Adequate|Good
ngst_skateR4a,BiB_MeDALL.medall_ngst.ngst_skateR4a,presnce of skateramp,decimal,,1|2,Absent|Present
ngst_smellsIN9a,BiB_MeDALL.medall_ngst.ngst_smellsIN9a,presence of unpleasant smells,decimal,,1|2,Absent|Present
ngst_smellslevelIN9b,BiB_MeDALL.medall_ngst.ngst_smellslevelIN9b,level of unpleasant smells,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_sociaUS7a,BiB_MeDALL.medall_ngst.ngst_sociaUS7a,suitable for socialising dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_sociaUS7b,BiB_MeDALL.medall_ngst.ngst_sociaUS7b,suitable for socialising,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_sportUS1a,BiB_MeDALL.medall_ngst.ngst_sportUS1a,suitable for sports dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
