variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Pregnancy.pregnancy_nmr.BiBPregNumber,Cohort recruited pregnancy number,decimal,NA,NA,NA
has_pregnancy_nmr,BiB_Pregnancy.pregnancy_nmr.has_pregnancy_nmr,Has ,decimal,NA,NA,NA
has_metnmr,BiB_Pregnancy.pregnancy_nmr.has_metnmr,Has: NMR metabolomics pregnancy samples,decimal,NA,1,has
metabolnmrbarcode,BiB_Pregnancy.pregnancy_nmr.metabolnmrbarcode,NMR metabolomics sample barcode,text,NA,NA,NA
metabolnmrsampleid,BiB_Pregnancy.pregnancy_nmr.metabolnmrsampleid,NMR metabolomics sample lab ID,text,NA,NA,NA
