variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_Measurements.bloods.creatinine,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,creatinine,Creatinine (µmol/L),integer,,physical_health,1159,1159
BiB_AgeOfWonder_Measurements.bloods.eosinophils,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,eosinophils,Eosinophils (x 10⁹/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.glucose_plasma,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,glucose_plasma,Plasma Glucose (mmol/L),float,,endocrine_system,1064,1064
BiB_AgeOfWonder_Measurements.bloods.haemoglobin,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,haemoglobin,Haemoglobin (g/L),integer,,hemic_and_immune_systems,1128,1128
BiB_AgeOfWonder_Measurements.bloods.haematocrit,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,haematocrit,Haematocrit (L/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.hba1c,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,hba1c,HbA1c (mmol/mol),integer,,endocrine_system,1129,1129
BiB_AgeOfWonder_Measurements.bloods.hdl,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,hdl,HDL (mmol/L),float,,cardiovascular_system,1158,1158
BiB_AgeOfWonder_Measurements.bloods.ldl,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,ldl,LDL (mmol/L),float,,cardiovascular_system,1154,1154
BiB_AgeOfWonder_Measurements.bloods.lymphocytes,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,lymphocytes,Lymphocytes (x 10⁹/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.mch,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,mch,Mean Cell Haemoglobin (pg),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.mchc,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,mchc,Mean Cell Haemoglobin Concentration (g/L),integer,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.mcv,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,mcv,Mean Cell Volume (fL),integer,,hemic_and_immune_systems,1128,1128
BiB_AgeOfWonder_Measurements.bloods.monocytes,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,monocytes,Monocytes (x 10⁹/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.neutrophils,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,neutrophils,Neutrophils (x 10⁹/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.platelets,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,platelets,Platelets (x 10⁹/L),integer,,hemic_and_immune_systems,1128,1128
BiB_AgeOfWonder_Measurements.bloods.potassium,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,potassium,Potassium (mmol/L),float,,physical_health,1128,1128
BiB_AgeOfWonder_Measurements.bloods.rbc,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,rbc,Red Blood Cell Count (x 10¹²/L),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.rdw,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,rdw,RBC Distribution Width (%),float,,hemic_and_immune_systems,826,826
BiB_AgeOfWonder_Measurements.bloods.sodium,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,sodium,Sodium (mmol/L),integer,,physical_health,1157,1157
BiB_AgeOfWonder_Measurements.bloods.triglycerides,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,triglycerides,Triglycerides (mmol/L),float,,cardiovascular_system,1157,1157
BiB_AgeOfWonder_Measurements.bloods.vitamin_d_total,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,vitamin_d_total,Total Vitamin D (nmol/L),integer,,physical_health,1127,1127
BiB_AgeOfWonder_Measurements.bloods.urea,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,urea,Urea (mmol/L),float,,physical_health,1159,1159
BiB_AgeOfWonder_Measurements.bloods.wbc,BiB_AgeOfWonder_Measurements.bloods,BiB_AgeOfWonder_Measurements,bloods,wbc,White Blood Cell Count (x 10⁹/L),float,,hemic_and_immune_systems,1128,1128
