table_id,project_name,table_name,display_name,cohort_membership,entity_type,data_subjects,data_respondents,n_variables,n_rows,n_entities,last_updated
BiB_1000.bib1000_18m_bee104,BiB_1000,bib1000_18m_bee104,BiB 1000 18m Other foods and drinks,bib,participant,,,7,1318,1293,2024-05-14 09:11:47
BiB_1000.bib1000_18m_b18qh2,BiB_1000,bib1000_18m_b18qh2,BiB 1000 18m Other snacks consumed by parent,bib,participant,,,4,1293,1293,2024-05-14 09:11:47
BiB_1000.bib1000_18m_b18qh4,BiB_1000,bib1000_18m_b18qh4,BiB 1000 18m Other ready/take-away meals (parent),bib,participant,,,4,1293,1293,2024-05-14 09:11:47
BiB_1000.bib1000_18m_bib18n,BiB_1000,bib1000_18m_bib18n,BiB 1000 18 month child nutrients intake,bib,participant,,,58,1257,1257,2024-05-14 09:11:47
BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,BiB 1000 24m Questionnaire main table,bib,participant,,,566,1763,1763,2024-05-14 09:11:48
BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,BiB 1000 36m Questionnaire main table,bib,participant,,,446,1763,1763,2024-05-14 09:11:49
BiB_1000.bib1000_36m_b36j17,BiB_1000,bib1000_36m_b36j17,BiB 1000 36m Other foods consumed by child,bib,participant,,,5,1232,1232,2024-05-14 09:11:49
BiB_1000.bib1000_36m_b3j19a,BiB_1000,bib1000_36m_b3j19a,BiB 1000 36m Vitamins or multivitamins,bib,participant,,,6,1232,1232,2024-05-14 09:11:49
BiB_1000.bib1000_36m_b3j19b,BiB_1000,bib1000_36m_b3j19b,BiB 1000 36m Cod liver oil or other oil,bib,participant,,,6,1232,1232,2024-05-14 09:11:49
BiB_1000.bib1000_36m_b3j19c,BiB_1000,bib1000_36m_b3j19c,BiB 1000 36m Other supplements,bib,participant,,,5,1232,1232,2024-05-14 09:11:49
BiB_1000.bib1000_36m_b36qi9,BiB_1000,bib1000_36m_b36qi9,BiB 1000 36m Physical activity clubs (child),bib,participant,,,4,1238,1232,2024-05-14 09:11:49
