project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_ckat,ssckatraim02baseMT2,BiB_StartingSchool.stschool_ckat.ssckatraim02baseMT2,Aiming Baseline (Aim Number: 1 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02baseNJ2,BiB_StartingSchool.stschool_ckat.ssckatraim02baseNJ2,Aiming Baseline (Aim Number: 1 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02basePL2,BiB_StartingSchool.stschool_ckat.ssckatraim02basePL2,Aiming Baseline (Aim Number: 1 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02basePLT2,BiB_StartingSchool.stschool_ckat.ssckatraim02basePLT2,Aiming Baseline (Aim Number: 1 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02basePS2,BiB_StartingSchool.stschool_ckat.ssckatraim02basePS2,Aiming Baseline (Aim Number: 1 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02baseRT2,BiB_StartingSchool.stschool_ckat.ssckatraim02baseRT2,Aiming Baseline (Aim Number: 1 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim02baseTPS2,BiB_StartingSchool.stschool_ckat.ssckatraim02baseTPS2,Aiming Baseline (Aim Number: 1 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03baseDT3,BiB_StartingSchool.stschool_ckat.ssckatraim03baseDT3,Aiming Baseline (Aim Number: 2 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03baseMT3,BiB_StartingSchool.stschool_ckat.ssckatraim03baseMT3,Aiming Baseline (Aim Number: 2 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03baseNJ3,BiB_StartingSchool.stschool_ckat.ssckatraim03baseNJ3,Aiming Baseline (Aim Number: 2 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03basePL3,BiB_StartingSchool.stschool_ckat.ssckatraim03basePL3,Aiming Baseline (Aim Number: 2 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03basePLT3,BiB_StartingSchool.stschool_ckat.ssckatraim03basePLT3,Aiming Baseline (Aim Number: 2 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03basePS3,BiB_StartingSchool.stschool_ckat.ssckatraim03basePS3,Aiming Baseline (Aim Number: 2 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03baseRT3,BiB_StartingSchool.stschool_ckat.ssckatraim03baseRT3,Aiming Baseline (Aim Number: 2 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim03baseTPS3,BiB_StartingSchool.stschool_ckat.ssckatraim03baseTPS3,Aiming Baseline (Aim Number: 2 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04baseDT4,BiB_StartingSchool.stschool_ckat.ssckatraim04baseDT4,Aiming Baseline (Aim Number: 3 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04baseMT4,BiB_StartingSchool.stschool_ckat.ssckatraim04baseMT4,Aiming Baseline (Aim Number: 3 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04baseNJ4,BiB_StartingSchool.stschool_ckat.ssckatraim04baseNJ4,Aiming Baseline (Aim Number: 3 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04basePL4,BiB_StartingSchool.stschool_ckat.ssckatraim04basePL4,Aiming Baseline (Aim Number: 3 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04basePLT4,BiB_StartingSchool.stschool_ckat.ssckatraim04basePLT4,Aiming Baseline (Aim Number: 3 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04basePS4,BiB_StartingSchool.stschool_ckat.ssckatraim04basePS4,Aiming Baseline (Aim Number: 3 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04baseRT4,BiB_StartingSchool.stschool_ckat.ssckatraim04baseRT4,Aiming Baseline (Aim Number: 3 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim04baseTPS4,BiB_StartingSchool.stschool_ckat.ssckatraim04baseTPS4,Aiming Baseline (Aim Number: 3 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05baseDT5,BiB_StartingSchool.stschool_ckat.ssckatraim05baseDT5,Aiming Baseline (Aim Number: 4 of 50) Deceleration Time,decimal,,,
