variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.property_id,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,property_id,Unique ID of property (BiB generated),text,,,11274,11274
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_inspection_date,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_inspection_date,The date that inspection was actually carried out by energy assessor,date,,environmental_exposure,8592,8592
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_construction_age_band,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_construction_age_band,Age band when building part constructed,text,,environmental_exposure,8566,8566
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_built_form,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_built_form,The building type of address,text,,environmental_exposure,8590,8590
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_property_type,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_property_type,The property type of address,text,,environmental_exposure,8592,8592
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_floor_level,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_floor_level,Floor level relative to lowest level of property \(0 for ground floor\),text,,environmental_exposure,7961,7961
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_flat_storey_count,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_flat_storey_count,The number of storeys in apartment block. ,integer,,environmental_exposure,119,119
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_flat_top_storey,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_flat_top_storey,Whether flat is on top storey. Measure availabe for flats only,text,,environmental_exposure,874,874
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_total_floor_area,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_total_floor_area,Total m2 of all enclosed spaces measured to internal face of external walls,float,,environmental_exposure,8592,8592
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_floor_height,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_floor_height,Mean height of storey in metres. ,float,,environmental_exposure,2752,2752
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_number_heated_rooms,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_number_heated_rooms,Number of heated rooms in property if > half of habitable rooms are not heated,integer,,environmental_exposure,8030,8030
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual.iq_2021_number_habitable_rooms,BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_number_habitable_rooms,Number of rooms used/intended to be used for sleeping/living,integer,,environmental_exposure,8030,8030
