variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.fetal_renal.renallkidlgth3,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renallkidlgth3,L kidney length (3),float,,pregnancy,1572,1557
BiB_Pregnancy.fetal_renal.renallkidlgthav,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renallkidlgthav,L kidney length (av of 3),float,,pregnancy,1574,1559
BiB_Pregnancy.fetal_renal.renallrvefw,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renallrvefw,L renal volume/est fetal weight,float,,pregnancy,1563,1549
BiB_Pregnancy.fetal_renal.renalltsdiam1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalltsdiam1,L kidney trans diam (1),float,,pregnancy,1571,1556
BiB_Pregnancy.fetal_renal.renalltsdiam2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalltsdiam2,L kidney trans diam (2),float,,pregnancy,1574,1559
BiB_Pregnancy.fetal_renal.renalltsdiam3,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalltsdiam3,L kidney trans diam (3),float,,pregnancy,1573,1558
BiB_Pregnancy.fetal_renal.renalltsdiamav,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalltsdiamav,L kidney trans diam (av of 3),float,,pregnancy,1574,1559
BiB_Pregnancy.fetal_renal.renallvol,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renallvol,Left renal volume,float,,pregnancy,1573,1558
BiB_Pregnancy.fetal_renal.renalrecorder,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalrecorder,Recorder,categorical,[1 LG] [2 LG/SK] [3 LH] [4 NH] [5 NM] [6 NZ] [7 SK] [8 SK/NH],administration,1801,1780
BiB_Pregnancy.fetal_renal.renalrkidapdiam1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalrkidapdiam1,R kidney AP diam (1),float,,pregnancy,1570,1553
BiB_Pregnancy.fetal_renal.renalrkidapdiam2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalrkidapdiam2,R kidney AP diam (2),float,,pregnancy,1567,1550
