variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_1000.bib1000_12m_b12f15.BiBPersonID,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,BiBPersonID,,text,,,1330,1313
BiB_1000.bib1000_12m_b12f15.has_bib1000_12m_b12f15,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,has_bib1000_12m_b12f15,Has bib 1000 12m meat or fish-based meals,integer,,administration,1330,1313
BiB_1000.bib1000_12m_b12f15.bib12f15brand,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,bib12f15brand,Brand,categorical,[1 Annabel Karmel] [2 Cow and Gate] [3 Ellas Kitchen] [4 Heinz] [5 HiPP Organics] [6 Mumtaz (Halal)] [7 Organix] [8 Other Supermarket own],diet_and_nutrition,305,289
BiB_1000.bib1000_12m_b12f15.bib12f15frequency,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,bib12f15frequency,Frequency,categorical,[1 Never] [2 1-3 per month] [3 One day a week] [4 Two days a week] [5 Three days a week] [6 Four days a week] [7 Five days a week] [8 Six days a week] [9 Seven days a week],diet_and_nutrition,321,305
BiB_1000.bib1000_12m_b12f15.bib12f15otherbrand,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,bib12f15otherbrand,OtherBrand,text,,diet_and_nutrition,1330,1313
BiB_1000.bib1000_12m_b12f15.bib12f15quantity,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,bib12f15quantity,Quantity,float,,diet_and_nutrition,322,305
BiB_1000.bib1000_12m_b12f15.bib12f15timesperday,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,bib12f15timesperday,TimesPerDay,integer,,diet_and_nutrition,322,305
BiB_1000.bib1000_12m_b12f15.has_b12tab,BiB_1000.bib1000_12m_b12f15,BiB_1000,bib1000_12m_b12f15,has_b12tab,Has BiB1000 12m questionnaire,categorical,[1 has],administration,1330,1313
