variable,full_name,label,value_type,description,categories,categories_label
Omega_6_pct,BiB_Metabolomics.metnmr_infant12_d.Omega_6_pct,Ratio of omega-6 fatty acids to total fatty acids [%],decimal,,,
PUFA_pct,BiB_Metabolomics.metnmr_infant12_d.PUFA_pct,Ratio of polyunsaturated fatty acids to total fatty acids [%],decimal,,,
MUFA_pct,BiB_Metabolomics.metnmr_infant12_d.MUFA_pct,Ratio of monounsaturated fatty acids to total fatty acids [%],decimal,,,
SFA_pct,BiB_Metabolomics.metnmr_infant12_d.SFA_pct,Ratio of saturated fatty acids to total fatty acids [%],decimal,,,
LA_pct,BiB_Metabolomics.metnmr_infant12_d.LA_pct,Ratio of linoleic acid to total fatty acids [%],decimal,,,
DHA_pct,BiB_Metabolomics.metnmr_infant12_d.DHA_pct,Ratio of docosahexaenoic acid to total fatty acids [%],decimal,,,
Ala,BiB_Metabolomics.metnmr_infant12_d.Ala,Alanine [mmol/l],decimal,,,
Gln,BiB_Metabolomics.metnmr_infant12_d.Gln,Glutamine [mmol/l],text,,,
Gly,BiB_Metabolomics.metnmr_infant12_d.Gly,Glycine [mmol/l],decimal,,,
His,BiB_Metabolomics.metnmr_infant12_d.His,Histidine [mmol/l],decimal,,,
Ile,BiB_Metabolomics.metnmr_infant12_d.Ile,Isoleucine [mmol/l],decimal,,,
Leu,BiB_Metabolomics.metnmr_infant12_d.Leu,Leucine [mmol/l],decimal,,,
Val,BiB_Metabolomics.metnmr_infant12_d.Val,Valine [mmol/l],decimal,,,
Phe,BiB_Metabolomics.metnmr_infant12_d.Phe,Phenylalanine [mmol/l],decimal,,,
Tyr,BiB_Metabolomics.metnmr_infant12_d.Tyr,Tyrosine [mmol/l],decimal,,,
Glucose,BiB_Metabolomics.metnmr_infant12_d.Glucose,Glucose [mmol/l],decimal,,,
Lactate,BiB_Metabolomics.metnmr_infant12_d.Lactate,Lactate [mmol/l],decimal,,,
Pyruvate,BiB_Metabolomics.metnmr_infant12_d.Pyruvate,Pyruvate [mmol/l],text,,,
Citrate,BiB_Metabolomics.metnmr_infant12_d.Citrate,Citrate [mmol/l],text,,,
Glycerol,BiB_Metabolomics.metnmr_infant12_d.Glycerol,Glycerol [mmol/l],text,,,
Acetate,BiB_Metabolomics.metnmr_infant12_d.Acetate,Acetate [mmol/l],decimal,,,
Acetoacetate,BiB_Metabolomics.metnmr_infant12_d.Acetoacetate,Acetoacetate [mmol/l],decimal,,,
bOHbutyrate,BiB_Metabolomics.metnmr_infant12_d.bOHbutyrate,Beta-hydroxybutyrate [mmol/l],decimal,,,
Creatinine,BiB_Metabolomics.metnmr_infant12_d.Creatinine,Creatinine [mmol/l],text,,,
Albumin,BiB_Metabolomics.metnmr_infant12_d.Albumin,Albumin [signal area],decimal,,,
GlycA,BiB_Metabolomics.metnmr_infant12_d.GlycA,Glycoprotein acetyls [mmol/l],decimal,,,
XXL_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_P,Concentration of chylomicrons and extremely large VLDL particles [mol/l],decimal,,,
XXL_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_L,Total lipids in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XXL_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_PL,Phospholipids in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XXL_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_C,Cholesterol in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XXL_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_CE,Cholesteryl esters in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XXL_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_FC,Free cholesterol in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XXL_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_TG,Triglycerides in chylomicrons and extremely large VLDL [mmol/l],decimal,,,
XL_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_P,Concentration of very large VLDL particles [mol/l],decimal,,,
XL_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_L,Total lipids in very large VLDL [mmol/l],decimal,,,
XL_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_PL,Phospholipids in very large VLDL [mmol/l],decimal,,,
XL_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_C,Cholesterol in very large VLDL [mmol/l],decimal,,,
XL_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_CE,Cholesteryl esters in very large VLDL [mmol/l],decimal,,,
XL_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_FC,Free cholesterol in very large VLDL [mmol/l],decimal,,,
XL_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_TG,Triglycerides in very large VLDL [mmol/l],decimal,,,
L_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_P,Concentration of large VLDL particles [mol/l],decimal,,,
L_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_L,Total lipids in large VLDL [mmol/l],decimal,,,
L_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_PL,Phospholipids in large VLDL [mmol/l],decimal,,,
L_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_C,Cholesterol in large VLDL [mmol/l],decimal,,,
L_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_CE,Cholesteryl esters in large VLDL [mmol/l],decimal,,,
L_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_FC,Free cholesterol in large VLDL [mmol/l],decimal,,,
L_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_TG,Triglycerides in large VLDL [mmol/l],decimal,,,
M_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_P,Concentration of medium VLDL particles [mol/l],decimal,,,
M_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_L,Total lipids in medium VLDL [mmol/l],decimal,,,
M_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_PL,Phospholipids in medium VLDL [mmol/l],decimal,,,
M_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_C,Cholesterol in medium VLDL [mmol/l],decimal,,,
M_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_CE,Cholesteryl esters in medium VLDL [mmol/l],decimal,,,
M_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_FC,Free cholesterol in medium VLDL [mmol/l],decimal,,,
M_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_TG,Triglycerides in medium VLDL [mmol/l],decimal,,,
S_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_P,Concentration of small VLDL particles [mol/l],decimal,,,
S_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_L,Total lipids in small VLDL [mmol/l],decimal,,,
S_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_PL,Phospholipids in small VLDL [mmol/l],decimal,,,
S_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_C,Cholesterol in small VLDL [mmol/l],decimal,,,
S_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_CE,Cholesteryl esters in small VLDL [mmol/l],decimal,,,
S_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_FC,Free cholesterol in small VLDL [mmol/l],decimal,,,
S_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.S_VLDL_TG,Triglycerides in small VLDL [mmol/l],decimal,,,
XS_VLDL_P,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_P,Concentration of very small VLDL particles [mol/l],decimal,,,
XS_VLDL_L,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_L,Total lipids in very small VLDL [mmol/l],decimal,,,
XS_VLDL_PL,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_PL,Phospholipids in very small VLDL [mmol/l],decimal,,,
XS_VLDL_C,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_C,Cholesterol in very small VLDL [mmol/l],decimal,,,
XS_VLDL_CE,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_CE,Cholesteryl esters in very small VLDL [mmol/l],decimal,,,
XS_VLDL_FC,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_FC,Free cholesterol in very small VLDL [mmol/l],decimal,,,
XS_VLDL_TG,BiB_Metabolomics.metnmr_infant12_d.XS_VLDL_TG,Triglycerides in very small VLDL [mmol/l],decimal,,,
IDL_P,BiB_Metabolomics.metnmr_infant12_d.IDL_P,Concentration of IDL particles [mol/l],decimal,,,
IDL_L,BiB_Metabolomics.metnmr_infant12_d.IDL_L,Total lipids in IDL [mmol/l],decimal,,,
IDL_PL,BiB_Metabolomics.metnmr_infant12_d.IDL_PL,Phospholipids in IDL [mmol/l],decimal,,,
IDL_C,BiB_Metabolomics.metnmr_infant12_d.IDL_C,Cholesterol in IDL [mmol/l],decimal,,,
IDL_CE,BiB_Metabolomics.metnmr_infant12_d.IDL_CE,Cholesteryl esters in IDL [mmol/l],decimal,,,
IDL_FC,BiB_Metabolomics.metnmr_infant12_d.IDL_FC,Free cholesterol in IDL [mmol/l],decimal,,,
IDL_TG,BiB_Metabolomics.metnmr_infant12_d.IDL_TG,Triglycerides in IDL [mmol/l],decimal,,,
L_LDL_P,BiB_Metabolomics.metnmr_infant12_d.L_LDL_P,Concentration of large LDL particles [mol/l],decimal,,,
L_LDL_L,BiB_Metabolomics.metnmr_infant12_d.L_LDL_L,Total lipids in large LDL [mmol/l],decimal,,,
L_LDL_PL,BiB_Metabolomics.metnmr_infant12_d.L_LDL_PL,Phospholipids in large LDL [mmol/l],decimal,,,
L_LDL_C,BiB_Metabolomics.metnmr_infant12_d.L_LDL_C,Cholesterol in large LDL [mmol/l],decimal,,,
L_LDL_CE,BiB_Metabolomics.metnmr_infant12_d.L_LDL_CE,Cholesteryl esters in large LDL [mmol/l],decimal,,,
L_LDL_FC,BiB_Metabolomics.metnmr_infant12_d.L_LDL_FC,Free cholesterol in large LDL [mmol/l],decimal,,,
L_LDL_TG,BiB_Metabolomics.metnmr_infant12_d.L_LDL_TG,Triglycerides in large LDL [mmol/l],decimal,,,
M_LDL_P,BiB_Metabolomics.metnmr_infant12_d.M_LDL_P,Concentration of medium LDL particles [mol/l],decimal,,,
M_LDL_L,BiB_Metabolomics.metnmr_infant12_d.M_LDL_L,Total lipids in medium LDL [mmol/l],decimal,,,
M_LDL_PL,BiB_Metabolomics.metnmr_infant12_d.M_LDL_PL,Phospholipids in medium LDL [mmol/l],decimal,,,
M_LDL_C,BiB_Metabolomics.metnmr_infant12_d.M_LDL_C,Cholesterol in medium LDL [mmol/l],decimal,,,
M_LDL_CE,BiB_Metabolomics.metnmr_infant12_d.M_LDL_CE,Cholesteryl esters in medium LDL [mmol/l],decimal,,,
M_LDL_FC,BiB_Metabolomics.metnmr_infant12_d.M_LDL_FC,Free cholesterol in medium LDL [mmol/l],decimal,,,
M_LDL_TG,BiB_Metabolomics.metnmr_infant12_d.M_LDL_TG,Triglycerides in medium LDL [mmol/l],decimal,,,
S_LDL_P,BiB_Metabolomics.metnmr_infant12_d.S_LDL_P,Concentration of small LDL particles [mol/l],decimal,,,
S_LDL_L,BiB_Metabolomics.metnmr_infant12_d.S_LDL_L,Total lipids in small LDL [mmol/l],decimal,,,
S_LDL_PL,BiB_Metabolomics.metnmr_infant12_d.S_LDL_PL,Phospholipids in small LDL [mmol/l],decimal,,,
S_LDL_C,BiB_Metabolomics.metnmr_infant12_d.S_LDL_C,Cholesterol in small LDL [mmol/l],decimal,,,
S_LDL_CE,BiB_Metabolomics.metnmr_infant12_d.S_LDL_CE,Cholesteryl esters in small LDL [mmol/l],decimal,,,
S_LDL_FC,BiB_Metabolomics.metnmr_infant12_d.S_LDL_FC,Free cholesterol in small LDL [mmol/l],decimal,,,
S_LDL_TG,BiB_Metabolomics.metnmr_infant12_d.S_LDL_TG,Triglycerides in small LDL [mmol/l],decimal,,,
XL_HDL_P,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_P,Concentration of very large HDL particles [mol/l],decimal,,,
XL_HDL_L,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_L,Total lipids in very large HDL [mmol/l],decimal,,,
XL_HDL_PL,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_PL,Phospholipids in very large HDL [mmol/l],decimal,,,
XL_HDL_C,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_C,Cholesterol in very large HDL [mmol/l],decimal,,,
XL_HDL_CE,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_CE,Cholesteryl esters in very large HDL [mmol/l],decimal,,,
XL_HDL_FC,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_FC,Free cholesterol in very large HDL [mmol/l],decimal,,,
XL_HDL_TG,BiB_Metabolomics.metnmr_infant12_d.XL_HDL_TG,Triglycerides in very large HDL [mmol/l],decimal,,,
L_HDL_P,BiB_Metabolomics.metnmr_infant12_d.L_HDL_P,Concentration of large HDL particles [mol/l],decimal,,,
L_HDL_L,BiB_Metabolomics.metnmr_infant12_d.L_HDL_L,Total lipids in large HDL [mmol/l],decimal,,,
L_HDL_PL,BiB_Metabolomics.metnmr_infant12_d.L_HDL_PL,Phospholipids in large HDL [mmol/l],decimal,,,
L_HDL_C,BiB_Metabolomics.metnmr_infant12_d.L_HDL_C,Cholesterol in large HDL [mmol/l],decimal,,,
L_HDL_CE,BiB_Metabolomics.metnmr_infant12_d.L_HDL_CE,Cholesteryl esters in large HDL [mmol/l],decimal,,,
L_HDL_FC,BiB_Metabolomics.metnmr_infant12_d.L_HDL_FC,Free cholesterol in large HDL [mmol/l],decimal,,,
L_HDL_TG,BiB_Metabolomics.metnmr_infant12_d.L_HDL_TG,Triglycerides in large HDL [mmol/l],decimal,,,
M_HDL_P,BiB_Metabolomics.metnmr_infant12_d.M_HDL_P,Concentration of medium HDL particles [mol/l],decimal,,,
M_HDL_L,BiB_Metabolomics.metnmr_infant12_d.M_HDL_L,Total lipids in medium HDL [mmol/l],decimal,,,
M_HDL_PL,BiB_Metabolomics.metnmr_infant12_d.M_HDL_PL,Phospholipids in medium HDL [mmol/l],decimal,,,
M_HDL_C,BiB_Metabolomics.metnmr_infant12_d.M_HDL_C,Cholesterol in medium HDL [mmol/l],decimal,,,
