variable,full_name,label,value_type,description,categories,categories_label
metmsr45951,BiB_Metabolomics.metms_pairc_r.metmsr45951,1-linolenoyl-GPC (18:3)* [raw],decimal,,,
metmsr34393,BiB_Metabolomics.metms_pairc_r.metmsr34393,1-linolenoylglycerol (18:3) [raw],decimal,,,
metmsr52710,BiB_Metabolomics.metms_pairc_r.metmsr52710,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)* [raw],decimal,,,
metmsr53176,BiB_Metabolomics.metms_pairc_r.metmsr53176,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)* [raw],decimal,,,
metmsr52690,BiB_Metabolomics.metms_pairc_r.metmsr52690,1-linoleoyl-GPA (18:2)* [raw],decimal,,,
metmsr34419,BiB_Metabolomics.metms_pairc_r.metmsr34419,1-linoleoyl-GPC (18:2) [raw],decimal,,,
metmsr36600,BiB_Metabolomics.metms_pairc_r.metmsr36600,1-linoleoyl-GPE (18:2)* [raw],decimal,,,
metmsr54885,BiB_Metabolomics.metms_pairc_r.metmsr54885,1-linoleoyl-GPG (18:2)* [raw],decimal,,,
metmsr36594,BiB_Metabolomics.metms_pairc_r.metmsr36594,1-linoleoyl-GPI (18:2)* [raw],decimal,,,
metmsr27447,BiB_Metabolomics.metms_pairc_r.metmsr27447,1-linoleoylglycerol (18:2) [raw],decimal,,,
metmsr32350,BiB_Metabolomics.metms_pairc_r.metmsr32350,1-methyl-4-imidazoleacetate [raw],decimal,,,
metmsr48114,BiB_Metabolomics.metms_pairc_r.metmsr48114,1-methylguanidine [raw],decimal,,,
metmsr43831,BiB_Metabolomics.metms_pairc_r.metmsr43831,1-methylhistamine [raw],decimal,,,
metmsr30460,BiB_Metabolomics.metms_pairc_r.metmsr30460,1-methylhistidine [raw],decimal,,,
metmsr27665,BiB_Metabolomics.metms_pairc_r.metmsr27665,1-methylnicotinamide [raw],decimal,,,
metmsr34395,BiB_Metabolomics.metms_pairc_r.metmsr34395,1-methylurate [raw],decimal,,,
metmsr34389,BiB_Metabolomics.metms_pairc_r.metmsr34389,1-methylxanthine [raw],decimal,,,
metmsr53195,BiB_Metabolomics.metms_pairc_r.metmsr53195,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)* [raw],decimal,,,
metmsr19258,BiB_Metabolomics.metms_pairc_r.metmsr19258,1-myristoyl-2-palmitoyl-GPC (14:0/16:0) [raw],decimal,,,
metmsr55041,BiB_Metabolomics.metms_pairc_r.metmsr55041,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)* [raw],decimal,,,
metmsr52697,BiB_Metabolomics.metms_pairc_r.metmsr52697,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)* [raw],decimal,,,
metmsr53209,BiB_Metabolomics.metms_pairc_r.metmsr53209,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)* [raw],decimal,,,
metmsr52687,BiB_Metabolomics.metms_pairc_r.metmsr52687,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)* [raw],decimal,,,
metmsr36812,BiB_Metabolomics.metms_pairc_r.metmsr36812,1-oleoyl-GPA (18:1) [raw],decimal,,,
metmsr48258,BiB_Metabolomics.metms_pairc_r.metmsr48258,1-oleoyl-GPC (18:1) [raw],decimal,,,
metmsr35628,BiB_Metabolomics.metms_pairc_r.metmsr35628,1-oleoyl-GPE (18:1) [raw],decimal,,,
metmsr45968,BiB_Metabolomics.metms_pairc_r.metmsr45968,1-oleoyl-GPG (18:1)* [raw],decimal,,,
metmsr36602,BiB_Metabolomics.metms_pairc_r.metmsr36602,1-oleoyl-GPI (18:1)* [raw],decimal,,,
metmsr21184,BiB_Metabolomics.metms_pairc_r.metmsr21184,1-oleoylglycerol (18:1) [raw],decimal,,,
metmsr53180,BiB_Metabolomics.metms_pairc_r.metmsr53180,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)* [raw],decimal,,,
metmsr33230,BiB_Metabolomics.metms_pairc_r.metmsr33230,1-palmitoleoyl-GPC (16:1)* [raw],decimal,,,
metmsr52431,BiB_Metabolomics.metms_pairc_r.metmsr52431,1-palmitoleoylglycerol (16:1)* [raw],decimal,,,
metmsr52462,BiB_Metabolomics.metms_pairc_r.metmsr52462,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6) [raw],decimal,,,
metmsr52464,BiB_Metabolomics.metms_pairc_r.metmsr52464,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)* [raw],decimal,,,
metmsr52467,BiB_Metabolomics.metms_pairc_r.metmsr52467,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)* [raw],decimal,,,
metmsr52610,BiB_Metabolomics.metms_pairc_r.metmsr52610,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6) [raw],decimal,,,
metmsr52465,BiB_Metabolomics.metms_pairc_r.metmsr52465,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)* [raw],decimal,,,
metmsr42446,BiB_Metabolomics.metms_pairc_r.metmsr42446,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2) [raw],decimal,,,
metmsr42449,BiB_Metabolomics.metms_pairc_r.metmsr42449,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) [raw],decimal,,,
metmsr52450,BiB_Metabolomics.metms_pairc_r.metmsr52450,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) [raw],decimal,,,
metmsr52461,BiB_Metabolomics.metms_pairc_r.metmsr52461,1-palmitoyl-2-oleoyl-GPC (16:0/18:1) [raw],decimal,,,
metmsr19263,BiB_Metabolomics.metms_pairc_r.metmsr19263,1-palmitoyl-2-oleoyl-GPE (16:0/18:1) [raw],decimal,,,
metmsr52669,BiB_Metabolomics.metms_pairc_r.metmsr52669,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)* [raw],decimal,,,
metmsr52470,BiB_Metabolomics.metms_pairc_r.metmsr52470,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)* [raw],decimal,,,
metmsr52616,BiB_Metabolomics.metms_pairc_r.metmsr52616,1-palmitoyl-2-stearoyl-GPC (16:0/18:0) [raw],decimal,,,
metmsr57388,BiB_Metabolomics.metms_pairc_r.metmsr57388,1-palmitoyl-2-stearoyl-GPE (16:0/18:0)* [raw],decimal,,,
