variable,full_name,label,value_type,description,categories,categories_label
guchdPhycialactive2_13,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_13,Volleyball,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_24,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_24,Tennis,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_15,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_15,Basketball,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_21,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_21,Netball,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_16,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_16,Ice skating,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_17,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_17,Ice hockey,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_18,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_18,Trampolining,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_19,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_19,Boxing,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_20,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_20,Gym activities,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_25,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_25,Cricket,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive2_26,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_26,Other,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
