variable,full_name,label,value_type,description,categories,categories_label
m_birth_year,BiBBS_CohortInfo.mother.m_birth_year,Mother year of birth,decimal,,,
m_birth_month,BiBBS_CohortInfo.mother.m_birth_month,Mother month of birth,decimal,,,
gender,BiBBS_CohortInfo.mother.gender,Mother gender,decimal,,1,Female
m_recruitment_year,BiBBS_CohortInfo.mother.m_recruitment_year,Mother year of index pregnancy recruitment,decimal,,,
m_recruitment_month,BiBBS_CohortInfo.mother.m_recruitment_month,Mother month of index pregnancy recruitment,decimal,,,
m_age_at_recruitment,BiBBS_CohortInfo.mother.m_age_at_recruitment,Mother age at index pregnancy recruitment,decimal,,,
n_pregnancies,BiBBS_CohortInfo.mother.n_pregnancies,Number of pregnancies in this cohort,decimal,,,
n_children,BiBBS_CohortInfo.mother.n_children,Number of children in this cohort,decimal,,,
