variable,full_name,label,value_type,description,categories,categories_label
has_bib1000_18m_b18e14,BiB_1000.bib1000_18m_b18e14.has_bib1000_18m_b18e14,Has bib 1000 18m breakfast meals,decimal,NA,NA,NA
bib18e14brand,BiB_1000.bib1000_18m_b18e14.bib18e14brand,Brand of breakfast meals,decimal,NA,1|2|3|4|5|6|7|8,Annabel Karmel|Cow and Gate|Ellas Kitchen|Heinz|HiPP Organics|Mumtaz (Halal)|Organix|Other Supermarket own
bib18e14frequency,BiB_1000.bib1000_18m_b18e14.bib18e14frequency,Number of times per week consumes breakfast meals,decimal,NA,1|2|3|4|5|6|7|8|9,Never|1-3 per month|One day a week|Two days a week|Three days a week|Four days a week|Five days a week|Six days a week|Seven days a week
bib18e14otherbrand,BiB_1000.bib1000_18m_b18e14.bib18e14otherbrand,Other brand of breakfast meals,text,NA,NA,NA
bib18e14quantity,BiB_1000.bib1000_18m_b18e14.bib18e14quantity,Average number of jars consumed,decimal,NA,NA,NA
bib18e14size,BiB_1000.bib1000_18m_b18e14.bib18e14size,Size of jar,decimal,NA,1|2|3,125g|200g|250g
bib18e14timesperday,BiB_1000.bib1000_18m_b18e14.bib18e14timesperday,Number of times per day consumes breakfast meals,decimal,NA,NA,NA
has_b18tab,BiB_1000.bib1000_18m_b18e14.has_b18tab,Has: BiB 1000 Questionnaire: bib18_maintable,decimal,NA,1,has
