variable,full_name,label,value_type,description,categories,categories_label
bib12nvitb1,BiB_1000.bib1000_12m_bib12n.bib12nvitb1,Vitamin B1 (Thiamin)(mg/day),decimal,NA,NA,NA
bib12nvitb12,BiB_1000.bib1000_12m_bib12n.bib12nvitb12,Vitamin B12 (microg/day),decimal,NA,NA,NA
bib12nvitb2,BiB_1000.bib1000_12m_bib12n.bib12nvitb2,Vitamin B2 (Riboflavin)(mg/day),decimal,NA,NA,NA
bib12nvitb6,BiB_1000.bib1000_12m_bib12n.bib12nvitb6,Vitamin B6 (mg/day),decimal,NA,NA,NA
bib12nvitc,BiB_1000.bib1000_12m_bib12n.bib12nvitc,Vitamin C (mg/day),decimal,NA,NA,NA
bib12nvitd,BiB_1000.bib1000_12m_bib12n.bib12nvitd,Vitamin D (microg/day),decimal,NA,NA,NA
bib12nvite,BiB_1000.bib1000_12m_bib12n.bib12nvite,Vitamin E (alpha-tocopherol)(mg/day),decimal,NA,NA,NA
bib12nwater,BiB_1000.bib1000_12m_bib12n.bib12nwater,Water (g/day),decimal,NA,NA,NA
bib12nzinc,BiB_1000.bib1000_12m_bib12n.bib12nzinc,Zinc (mg/day),decimal,NA,NA,NA
has_bib12n,BiB_1000.bib1000_12m_bib12n.has_bib12n,Has: BiB1000 12 month child nutrients intake,decimal,NA,1,has
